Table S9. Mangroves benefits,,,,,
,countrycode,GDPDam_perC,GDPDam_perC_se,GDPDam_perC_sq,GDPDam_perC_sq_se
1,ABW,NA,NA,NA,NA
2,AGO,0,0,0,0
3,AIA,NA,NA,NA,NA
4,ARE,0,0,0,0
5,ASM,-6.44E-11,7.35E-14,6.85E-12,3.68E-14
6,AUS,-1.24E-05,2.00E-07,-2.95E-06,1.00E-07
7,BEN,-3.54E-05,3.42E-07,7.26E-06,1.72E-07
8,BGD,-0.000180027,6.15E-07,2.55E-05,3.08E-07
9,BHS,-3.15E-05,4.15E-07,-2.92E-06,2.08E-07
10,BLZ,-0.000299672,4.40E-06,-2.56E-05,2.20E-06
11,BMU,NA,NA,NA,NA
12,BRA,-1.26E-05,1.13E-07,-1.71E-06,5.67E-08
13,BRB,NA,NA,NA,NA
14,BRN,-3.48E-05,6.09E-07,5.80E-06,3.05E-07
15,CHN,-3.00E-07,2.00E-09,-5.53E-08,1.00E-09
16,CIV,-7.82E-06,1.59E-08,9.40E-07,7.99E-09
17,CMR,-1.87E-05,3.94E-07,8.52E-06,1.97E-07
18,COG,-2.52E-06,4.76E-08,-2.19E-07,2.39E-08
19,COK,NA,NA,NA,NA
20,COL,-8.83E-06,1.49E-07,-1.16E-06,7.45E-08
21,COM,-7.82E-06,1.58E-07,2.70E-06,7.92E-08
22,CRI,-2.32E-05,1.49E-07,1.15E-06,7.48E-08
23,CUB,-8.04E-05,3.19E-07,-2.96E-05,1.60E-07
24,CUW,-7.59E-09,4.24E-11,3.28E-10,2.12E-11
25,CYM,-1.14E-09,1.14E-11,9.18E-11,5.71E-12
26,DJI,-0.000103836,3.75E-07,1.69E-05,1.88E-07
27,DOM,-1.26E-05,9.51E-08,-7.49E-07,4.76E-08
28,ECU,4.88E-05,3.69E-07,-3.40E-05,1.85E-07
29,EGY,-3.61E-08,3.83E-10,-3.04E-09,1.92E-10
30,ERI,-7.10E-05,9.29E-07,7.78E-06,4.65E-07
31,FJI,-0.000437462,3.58E-06,5.91E-05,1.79E-06
32,FSM,0,0,0,0
33,GAB,-0.000298404,3.26E-06,0.000104904,1.63E-06
34,GHA,-5.53E-05,4.11E-07,9.57E-06,2.06E-07
35,GIN,-0.001907062,3.78E-06,0.000438988,1.90E-06
36,GNB,-0.004203323,1.77E-05,0.000740514,8.88E-06
37,GNQ,-1.38E-06,9.50E-09,2.53E-07,4.76E-09
38,GRD,-1.29E-07,1.94E-09,3.63E-08,9.74E-10
39,GTM,-9.70E-05,6.98E-07,1.17E-05,3.50E-07
40,GUF,-1.65E-07,9.64E-10,6.92E-09,4.83E-10
41,GUM,-1.63E-10,7.50E-13,1.03E-11,3.76E-13
42,GUY,-3.17E-05,2.29E-07,2.58E-06,1.15E-07
43,HND,-0.000115178,6.54E-07,4.32E-06,3.28E-07
44,HTI,-2.77E-05,2.25E-07,2.85E-06,1.13E-07
45,IDN,-3.60E-05,3.75E-07,4.67E-06,1.88E-07
46,IND,-7.43E-06,7.16E-08,3.49E-08,3.59E-08
47,IRN,-1.10E-06,1.28E-08,-1.65E-07,6.41E-09
48,JAM,-1.65E-05,2.02E-07,-7.33E-07,1.01E-07
49,JPN,-3.21E-09,2.27E-11,-4.36E-10,1.14E-11
50,KEN,-1.51E-05,2.18E-07,1.75E-06,1.09E-07
51,KHM,-4.11E-05,2.22E-07,-1.51E-06,1.11E-07
52,LAO,NA,NA,NA,NA
53,LBR,-4.07E-05,3.28E-07,5.03E-06,1.64E-07
54,LCA,-5.18E-06,7.28E-08,1.36E-06,3.65E-08
55,LKA,-1.63E-05,1.64E-07,2.34E-06,8.24E-08
56,MDG,-0.000249853,7.12E-07,2.60E-05,3.57E-07
57,MDV,NA,NA,NA,NA
58,MEX,-0.000271355,1.67E-06,1.80E-05,8.35E-07
59,MMR,-1.44E-06,4.58E-09,1.40E-07,2.30E-09
60,MOZ,-0.000329998,1.50E-06,3.50E-05,7.49E-07
61,MRT,-3.53E-09,2.78E-11,4.64E-10,1.39E-11
62,MTQ,-1.52E-08,2.31E-10,1.83E-09,1.16E-10
63,MUS,-3.46E-06,2.71E-08,2.09E-07,1.36E-08
64,MYS,-0.00017476,2.33E-06,1.42E-05,1.17E-06
65,MYT,-9.36E-09,6.27E-11,1.00E-09,3.14E-11
66,NCL,-1.07E-07,4.40E-10,-4.82E-09,2.20E-10
67,NGA,-0.000449219,3.39E-06,9.93E-05,1.70E-06
68,NIC,-5.56E-05,2.81E-07,2.29E-06,1.41E-07
69,NZL,3.73E-05,2.54E-07,-1.28E-05,1.27E-07
70,OMN,-1.36E-06,7.50E-09,1.24E-07,3.76E-09
71,PAK,-6.00E-05,1.06E-06,9.95E-06,5.31E-07
72,PAN,-4.13E-05,1.36E-07,-9.81E-06,6.83E-08
73,PER,-4.11E-08,1.00E-10,-1.16E-08,5.01E-11
74,PHL,-2.36E-05,4.23E-07,-4.82E-08,2.12E-07
75,PNG,-2.73E-05,5.14E-07,-9.76E-06,2.58E-07
76,PRI,-4.38E-08,3.27E-10,5.46E-09,1.64E-10
77,PYF,-1.12E-09,1.28E-11,6.54E-11,6.41E-12
78,QAT,0,0,0,0
79,SAU,-2.83E-06,2.99E-08,1.66E-07,1.50E-08
80,SDN,-3.77E-07,1.15E-08,9.70E-08,5.76E-09
81,SEN,-0.003283147,7.28E-06,0.00020458,3.65E-06
82,SLB,-0.000200237,4.70E-07,4.23E-05,2.35E-07
83,SLE,-0.00131151,2.50E-06,0.000225241,1.25E-06
84,SLV,-5.66E-06,2.02E-08,1.10E-06,1.01E-08
85,SOM,-3.19E-06,1.06E-07,1.03E-06,5.32E-08
86,STP,-2.46E-07,1.98E-09,7.36E-08,9.94E-10
87,SUR,-0.000120922,5.92E-07,-1.90E-05,2.97E-07
88,TCA,-2.03E-06,1.60E-08,-1.67E-07,8.04E-09
89,TGO,-1.12E-06,5.15E-09,1.46E-07,2.58E-09
90,THA,-4.65E-05,5.47E-07,4.91E-07,2.74E-07
91,TLS,-9.70E-07,7.37E-09,1.93E-07,3.69E-09
92,TON,-8.84E-06,1.33E-07,-1.54E-06,6.69E-08
93,TTO,0,0,0,0
94,TZA,-8.36E-05,5.53E-07,5.99E-06,2.77E-07
95,USA,-1.75E-06,9.53E-09,7.97E-08,4.77E-09
96,VCT,-3.72E-06,2.55E-08,4.73E-07,1.28E-08
97,VEN,-0.000233962,9.46E-07,-2.18E-05,4.74E-07
98,VGB,-1.03E-09,1.11E-11,1.93E-10,5.56E-12
99,VIR,-5.60E-10,8.14E-12,3.25E-11,4.08E-12
100,VNM,-0.00034377,1.33E-06,2.51E-05,6.69E-07
101,VUT,-7.38E-06,1.33E-07,-8.30E-07,6.65E-08
102,WLF,-8.93E-11,9.85E-13,1.67E-11,4.94E-13
103,WSM,-5.20E-06,1.05E-07,-5.30E-08,5.27E-08
104,YEM,-2.04E-05,1.23E-07,2.35E-06,6.17E-08
105,ZAF,1.72E-07,2.58E-09,-6.67E-08,1.29E-09
